Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:06:50.440 +0530,"Success",0:00:01,0,0,0,"20190214_100650.440/LogFile.txt","","",1
2019-02-14 10:27:54.113 +0530,"Success",0:00:01,0,0,0,"20190214_102754.113/LogFile.txt","","",1
2019-02-14 10:29:13.715 +0530,"Success",0:00:03,0,0,0,"20190214_102913.715/LogFile.txt","","",1
2019-02-14 10:46:52.031 +0530,"Success",0:00:01,0,0,0,"20190214_104652.031/LogFile.txt","","",1
2019-02-14 13:11:50.832 +0530,"Success",0:00:04,0,0,0,"20190214_131150.832/LogFile.txt","","",1
2019-02-20 09:09:19.310 +0530,"Success",0:00:01,0,0,0,"20190220_090919.310/LogFile.txt","","",1
