Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:06:23.913 +0530,"Success",0:00:03,0,1,0,"20190214_100623.913/LogFile.txt","","",1
2019-02-14 10:27:27.093 +0530,"Success",0:00:03,0,1,0,"20190214_102727.093/LogFile.txt","","",1
2019-02-14 10:28:46.809 +0530,"Success",0:00:02,0,1,0,"20190214_102846.809/LogFile.txt","","",1
2019-02-14 10:46:20.970 +0530,"Success",0:00:04,0,1,0,"20190214_104620.970/LogFile.txt","","",1
2019-02-14 13:11:13.124 +0530,"Success",0:00:06,0,1,0,"20190214_131113.124/LogFile.txt","","",1
2019-02-20 09:08:43.517 +0530,"Success",0:00:04,0,1,0,"20190220_090843.517/LogFile.txt","","",1
