Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:06:34.628 +0530,"Success",0:00:03,0,0,0,"20190214_100634.628/LogFile.txt","","",1
2019-02-14 10:27:38.774 +0530,"Success",0:00:03,0,0,0,"20190214_102738.774/LogFile.txt","","",1
2019-02-14 10:28:57.755 +0530,"Success",0:00:03,0,0,0,"20190214_102857.755/LogFile.txt","","",1
2019-02-14 10:46:33.887 +0530,"Success",0:00:04,0,0,0,"20190214_104633.887/LogFile.txt","","",1
2019-02-14 13:11:30.804 +0530,"Success",0:00:05,0,0,0,"20190214_131130.804/LogFile.txt","","",1
2019-02-20 09:08:57.865 +0530,"Success",0:00:05,0,0,0,"20190220_090857.865/LogFile.txt","","",1
