Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:05:34.004 +0530,"Success",0:00:03,0,0,0,"20190214_100534.004/LogFile.txt","","",1
2019-02-14 10:40:38.236 +0530,"Success",0:00:03,0,0,0,"20190214_104038.236/LogFile.txt","","",1
2019-02-14 12:09:15.041 +0530,"Success",0:00:04,0,0,0,"20190214_120915.041/LogFile.txt","","",1
2019-02-20 09:10:45.034 +0530,"Success",0:00:04,0,0,0,"20190220_091045.034/LogFile.txt","","",1
2019-02-22 13:55:28.307 +0530,"Success",0:00:02,0,0,0,"20190222_135528.307/LogFile.txt","","",1
